"filename", "language", "YAML", "Markdown", "Dart", "Java Properties", "Gradle", "XML", "Python", "comment", "blank", "total"
"c:\Users\35170\Desktop\+\Flutter\relax\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\35170\Desktop\+\Flutter\relax\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\35170\Desktop\+\Flutter\relax\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 54, 0, 0, 5, 13, 72
"c:\Users\35170\Desktop\+\Flutter\relax\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 4, 1, 9
"c:\Users\35170\Desktop\+\Flutter\relax\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 35, 0, 11, 3, 49
"c:\Users\35170\Desktop\+\Flutter\relax\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\Users\35170\Desktop\+\Flutter\relax\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\Users\35170\Desktop\+\Flutter\relax\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"c:\Users\35170\Desktop\+\Flutter\relax\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"c:\Users\35170\Desktop\+\Flutter\relax\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 4, 1, 9
"c:\Users\35170\Desktop\+\Flutter\relax\android\build.gradle", "Gradle", 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\Users\35170\Desktop\+\Flutter\relax\android\gradle.properties", "Java Properties", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\35170\Desktop\+\Flutter\relax\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\35170\Desktop\+\Flutter\relax\android\settings.gradle", "Gradle", 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"c:\Users\35170\Desktop\+\Flutter\relax\lib\ChatGptObject.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 9, 6, 56
"c:\Users\35170\Desktop\+\Flutter\relax\lib\MainPage.dart", "Dart", 0, 0, 139, 0, 0, 0, 0, 6, 10, 155
"c:\Users\35170\Desktop\+\Flutter\relax\lib\Pages.dart", "Dart", 0, 0, 817, 0, 0, 0, 0, 20, 31, 868
"c:\Users\35170\Desktop\+\Flutter\relax\lib\ReWidget.dart", "Dart", 0, 0, 230, 0, 0, 0, 0, 33, 21, 284
"c:\Users\35170\Desktop\+\Flutter\relax\lib\Sonpage.dart", "Dart", 0, 0, 310, 0, 0, 0, 0, 22, 11, 343
"c:\Users\35170\Desktop\+\Flutter\relax\lib\chattest.py", "Python", 0, 0, 0, 0, 0, 0, 37, 11, 2, 50
"c:\Users\35170\Desktop\+\Flutter\relax\lib\main.dart", "Dart", 0, 0, 437, 0, 0, 0, 0, 9, 11, 457
"c:\Users\35170\Desktop\+\Flutter\relax\pubspec.yaml", "YAML", 25, 0, 0, 0, 0, 0, 0, 61, 13, 99
"c:\Users\35170\Desktop\+\Flutter\relax\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 28, 10, 1988, 8, 89, 69, 37, 260, 158, 2647
